object,object_base,table,address,registers,offset,parameter,access,data_type,fw_3_2,fw_3_3,fw_3_4,description
DHW 201,6500,IR,6503,1,3,Blocking source,R,val_u1,YES,YES,YES,Please check top of the document - GENERAL BLOCKING SOURCES
DHW 201,6500,IR,6504,1,4,Circulation state,R,val_u1,YES,YES,YES,0 NONE (disabled) 1 IDLE 2 ON
DHW 201,6500,IR,6505,1,5,Measured DHW temp,R,val_d2_fp100,YES,YES,YES,Current temperature of the domestic hot water flowing from DHW
DHW 201,6500,IR,6506,1,6,Source - Inlet temp,R,val_d2_fp100,YES,YES,YES,Current temperature of the water incoming from the heat source.
DHW 201,6500,IR,6507,1,7,Source - Return temp,R,val_d2_fp100,YES,YES,YES,Current temperature of the water returning to the heat source.
DHW 201,6500,IR,6508,1,8,Pressure,R,val_d2_fp100,YES,YES,YES,Current pressure of the secondary system
DHW 201,6500,IR,6509,1,9,Domestic Cold Water Temp,R,val_d2_fp100,YES,YES,YES,On heat exchanger input
DHW 201,6500,IR,6510,1,10,Domestic Cold Water flow,R,val_d2,YES,YES,YES,flow meter (analog) in l/h
DHW 201,6500,IR,6511,1,11,Valve position,R,val_d2_fp100,YES,YES,YES,Valve position in flows
DHW 201,6500,IR,6512,1,12,Boost pump state R,,val_u1,YES,YES,YES,Boost pump state 0 IDLE 1 ON
DHW 201,6500,HR,6501,16,1,Name,R/W,val_utf8,YES,YES,YES,"String description (32 Bytes, UTF8, NULL terminated)"
DHW 201,6500,HR,6517,1,17,Mode,R/W,val_u1,YES,YES,YES,0 SCHEDULE 1 SCHEDULE_ADAPTIVE 2 ECO 3 COMFORT Eco = circulation and hot bypass are disabled Comfort = circulation and hot bypass are enabled
DHW 201,6500,HR,6518,1,18,User interface access level (calefa display lock),R/W,val_u1,YES,YES,YES,16 USER (user menu) 32 INSTALLER (inst. menu)
DHW 201,6500,HR,6519,1,19,Block request,R/W,val_u1,YES,YES,YES,"0 NONE 1 BLOCK_REQUEST When BLOCK_REQUEST is set, then the system blocks heating and bypass to eliminate consumption from heat supplier."
DHW 201,6500,HR,6520,1,20,Power consumption limit,R/W,val_u2,YES,YES,YES,
DHW 201,6500,HR,6521,1,21,DHW temp set,R/W,val_d2_fp100,YES,YES,YES,Requested temperature of domestic hot water.
DHW 201,6500,HR,6522,1,22,DHW bypass temp,R/W,val_d2_fp100,YES,YES,YES,
DHW 201,6500,HR,6523,1,23,Circulation - Pump present,R/W,val_u1,YES,YES,YES,0 DISABLED 1 ENABLED (scheduler)
DHW 201,6500,HR,6524,1,24,Circulation - Inlet temp,R/W,val_d2_fp100,YES,YES,YES,"When circulation is enabled and there is NO dhw consumption, then the DHW temperature is regulated to this value."
DHW 201,6500,HR,6525,1,25,Exclude from vacation,R/W,val_u1,YES,YES,YES,Do not allow the Vacation mode
DHW 201,6500,HR,6526,1,26,Exclude from standby,R/W,val_u1,YES,YES,YES,Do not allow the Standby mode
DHW 201,6500,HR,6527,1,27,Boost pump mode,R/W,val_u1,YES,YES,YES,Boost pump mode 0 OFF 1 LOW 2 HIGH
DHW Tank,6600,DI,6601,1,1,Aggregated warning,R,,YES,YES,YES,A problem is pending in DHW
